"Freq [MHz]","((mag(V_out.v)*mag(I_out.i))/(mag(V_in.v)*mag(I_in.i)))*100 []"
6,9.84679391023677
6.0001,9.85003802619273
6.0002,9.85328335132103
6.0003,9.85652988611188
6.0004,9.85977763105563
6.0005,9.86302658664285
6.0006,9.86627675336433
6.0007,9.86952813171107
6.0008,9.87278072217419
6.0009,9.87603452524514
6.001,9.8792895414155
6.0011,9.88254577117701
6.0012,9.88580321502172
6.0013,9.8890618734418
6.0014,9.89232174692968
6.0015,9.89558283597793
6.0016,9.89884514107934
6.0017,9.90210866272699
6.0018,9.90537340141403
6.0019,9.90863935763387
6.002,9.91190653188017
6.0021,9.91517492464673
6.0022,9.9184445364276
6.0023,9.92171536771696
6.0024,9.92498741900927
6.0025,9.92826069079918
6.0026,9.93153518358156
6.0027,9.93481089785134
6.0028,9.93808783410384
6.0029,9.94136599283458
6.003,9.9446453745391
6.0031,9.9479259797133
6.0032,9.95120780885327
6.0033,9.95449086245525
6.0034,9.95777514101571
6.0035,9.96106064503136
6.0036,9.96434737499903
6.0037,9.9676353314159
6.0038,9.97092451477913
6.0039,9.97421492558629
6.004,9.97750656433508
6.0041,9.98079943152343
6.0042,9.98409352764939
6.0043,9.9873888532113
6.0044,9.99068540870771
6.0045,9.99398319463726
6.0046,9.99728221149901
6.0047,10.000582459792
6.0048,10.0038839400156
6.0049,10.0071866526693
6.005,10.0104905982529
6.0051,10.0137957772664
6.0052,10.01710219021
6.0053,10.0204098375839
6.0054,10.0237187198887
6.0055,10.0270288376254
6.0056,10.0303401912947
6.0057,10.033652781398
6.0058,10.0369666084367
6.0059,10.0402816729122
6.006,10.0435979753265
6.0061,10.0469155161815
6.0062,10.0502342959795
6.0063,10.053554315223
6.0064,10.0568755744145
6.0065,10.0601980740568
6.0066,10.0635218146531
6.0067,10.0668467967067
6.0068,10.0701730207208
6.0069,10.0735004871993
6.007,10.076829196646
6.0071,10.0801591495651
6.0072,10.0834903464606
6.0073,10.0868227878373
6.0074,10.0901564741997
6.0075,10.0934914060529
6.0076,10.0968275839018
6.0077,10.100165008252
6.0078,10.1035036796087
6.0079,10.106843598478
6.008,10.1101847653656
6.0081,10.1135271807777
6.0082,10.1168708452207
6.0083,10.1202157592013
6.0084,10.123561923226
6.0085,10.126909337802
6.0086,10.1302580034365
6.0087,10.1336079206368
6.0088,10.1369590899106
6.0089,10.1403115117656
6.009,10.14366518671
6.0091,10.147020115252
6.0092,10.1503762978999
6.0093,10.1537337351625
6.0094,10.1570924275487
